unique_id,remise_aucune_remise,remise_frequente_produit,remise_frequente_categorie,remise_meilleure_descriptive,y_moyen_historique,support
PRD000052,0.0,0.0,0.0,20.0,1.9333333333333333,30
PRD000053,0.0,0.0,0.0,0.0,1.7135678391959799,199
PRD000054,0.0,0.0,0.0,0.0,1.132701421800948,211
PRD000055,0.0,0.0,0.0,5.0,1.2758620689655173,29
PRD000056,0.0,0.0,0.0,25.0,1.6216216216216217,37
PRD000057,0.0,0.0,0.0,20.0,1.6,30
PRD000058,0.0,0.0,0.0,15.0,1.088235294117647,34
PRD000059,0.0,0.0,0.0,0.0,0.7309417040358744,223
PRD000060,0.0,0.0,0.0,0.0,1.141732283464567,127
PRD000061,0.0,0.0,0.0,10.0,0.8636363636363636,22
PRD000062,0.0,0.0,0.0,0.0,1.3556701030927836,194
PRD000063,0.0,0.0,0.0,0.0,0.6074074074074074,405
PRD000064,0.0,0.0,0.0,25.0,2.96,25
PRD000065,0.0,0.0,0.0,0.0,0.5333333333333333,150
PRD000066,0.0,0.0,0.0,10.0,2.375,24
PRD000067,0.0,0.0,0.0,0.0,1.030612244897959,196
PRD000068,0.0,0.0,0.0,20.0,1.6,30
PRD000069,0.0,0.0,0.0,10.0,2.6666666666666665,24
PRD000070,0.0,0.0,0.0,10.0,3.032258064516129,31
PRD000071,0.0,0.0,0.0,10.0,2.2916666666666665,24
PRD000072,0.0,0.0,0.0,10.0,2.096774193548387,31
PRD000073,0.0,0.0,0.0,15.0,1.7037037037037037,27
PRD000074,0.0,0.0,0.0,0.0,1.1700680272108843,294
PRD000075,0.0,0.0,0.0,5.0,2.409090909090909,22
PRD000076,0.0,0.0,0.0,0.0,0.452431289640592,473
PRD000077,0.0,0.0,0.0,5.0,1.3181818181818181,22
PRD000078,0.0,0.0,0.0,10.0,2.9583333333333335,24
PRD000079,0.0,0.0,0.0,0.0,1.5544554455445545,404
PRD000080,0.0,0.0,0.0,10.0,1.1785714285714286,28
PRD000081,0.0,0.0,0.0,10.0,1.6774193548387097,31
PRD000082,0.0,0.0,0.0,25.0,1.4054054054054055,37
PRD000083,0.0,0.0,0.0,0.0,0.6171875,128
PRD000084,0.0,0.0,0.0,0.0,2.034090909090909,264
PRD000085,0.0,0.0,0.0,0.0,0.5545454545454546,110
PRD000086,0.0,0.0,0.0,15.0,1.1111111111111112,27
PRD000087,0.0,0.0,0.0,0.0,1.4285714285714286,70
PRD000088,0.0,0.0,0.0,15.0,1.7037037037037037,27
PRD000089,0.0,0.0,0.0,10.0,1.8636363636363635,22
PRD000090,0.0,0.0,0.0,20.0,2.466666666666667,30
PRD000091,0.0,0.0,0.0,0.0,2.450199203187251,251
PRD000092,0.0,0.0,0.0,25.0,1.2702702702702702,37
PRD000093,0.0,0.0,0.0,15.0,0.5862068965517241,29
PRD000094,0.0,0.0,0.0,0.0,0.9527027027027027,148
PRD000095,0.0,0.0,0.0,25.0,4.2,35
PRD000096,0.0,0.0,0.0,0.0,0.966542750929368,269
PRD000097,0.0,0.0,0.0,10.0,1.6451612903225807,31
PRD000098,0.0,0.0,0.0,0.0,1.6603773584905661,159
PRD000099,0.0,0.0,0.0,0.0,1.2333333333333334,150
PRD000100,0.0,0.0,0.0,0.0,0.5154639175257731,97
PRD000101,0.0,0.0,0.0,0.0,0.9793388429752066,242
PRD000102,0.0,0.0,0.0,0.0,1.4074074074074074,324
PRD000103,0.0,0.0,0.0,0.0,1.1794871794871795,117
PRD000104,0.0,0.0,0.0,20.0,2.1,30
PRD000105,0.0,0.0,0.0,0.0,0.5826771653543307,127
PRD000106,0.0,0.0,0.0,0.0,1.2598752598752598,481
PRD000107,0.0,0.0,0.0,25.0,2.5945945945945947,37
PRD000108,0.0,0.0,0.0,10.0,2.5454545454545454,22
PRD000109,0.0,0.0,0.0,15.0,2.2,20
PRD000110,0.0,0.0,0.0,5.0,0.9655172413793104,29
PRD000111,0.0,0.0,0.0,15.0,1.5416666666666667,24
PRD000112,0.0,0.0,0.0,15.0,2.111111111111111,27
PRD000113,0.0,0.0,0.0,0.0,1.6167664670658684,501
PRD000114,0.0,0.0,0.0,0.0,2.5681818181818183,88
PRD000115,0.0,0.0,0.0,0.0,1.8227848101265822,79
PRD000116,0.0,0.0,0.0,10.0,1.75,24
PRD000117,0.0,0.0,0.0,0.0,1.68,75
PRD000118,0.0,0.0,0.0,5.0,0.8620689655172413,29
PRD000119,0.0,0.0,0.0,0.0,0.8029197080291971,274
PRD000120,0.0,0.0,0.0,5.0,1.5909090909090908,22
PRD000121,0.0,0.0,0.0,0.0,1.3820754716981132,212
PRD000122,0.0,0.0,0.0,10.0,2.2916666666666665,24
PRD000123,0.0,0.0,0.0,0.0,0.721030042918455,466
PRD000124,0.0,0.0,0.0,5.0,1.2745098039215685,51
PRD000125,0.0,0.0,0.0,15.0,0.6666666666666666,27
PRD000126,0.0,0.0,0.0,0.0,0.9375,224
PRD000127,0.0,0.0,0.0,10.0,3.2903225806451615,31
PRD000128,0.0,0.0,0.0,0.0,1.558139534883721,215
PRD000129,0.0,0.0,0.0,0.0,1.5734265734265733,286
PRD000130,0.0,0.0,0.0,0.0,1.5673076923076923,312
PRD000131,0.0,0.0,0.0,5.0,0.6551724137931034,29
PRD000132,0.0,0.0,0.0,10.0,2.0833333333333335,24
PRD000133,0.0,0.0,0.0,0.0,0.8454545454545455,110
PRD000134,0.0,0.0,0.0,15.0,1.2592592592592593,27
PRD000135,0.0,0.0,0.0,15.0,1.1724137931034482,29
PRD000136,0.0,0.0,0.0,15.0,1.2083333333333333,24
PRD000137,0.0,0.0,0.0,0.0,0.6706586826347305,501
PRD000138,0.0,0.0,0.0,0.0,0.8083832335329342,501
PRD000139,0.0,0.0,0.0,15.0,1.5555555555555556,27
PRD000140,0.0,0.0,0.0,0.0,0.6778523489932886,149
PRD000141,0.0,0.0,0.0,0.0,0.9714285714285714,35
PRD000142,0.0,0.0,0.0,0.0,1.288888888888889,45
PRD000143,0.0,0.0,0.0,15.0,1.2758620689655173,29
PRD000144,0.0,0.0,0.0,10.0,1.4516129032258065,31
PRD000145,0.0,0.0,0.0,0.0,2.0,159
PRD000146,0.0,0.0,0.0,0.0,1.1222222222222222,270
PRD000147,0.0,0.0,0.0,10.0,1.393939393939394,33
PRD000148,0.0,0.0,0.0,0.0,1.4107579462102688,409
PRD000149,0.0,0.0,0.0,20.0,1.8,30
PRD000150,0.0,0.0,0.0,0.0,0.9652173913043478,115
PRD000151,0.0,0.0,0.0,10.0,1.2121212121212122,33
PRD000152,0.0,0.0,0.0,20.0,1.0333333333333334,30
PRD000153,0.0,0.0,0.0,0.0,0.783410138248848,217
PRD000154,0.0,0.0,0.0,25.0,1.5135135135135136,37
PRD000155,0.0,0.0,0.0,0.0,1.1271186440677967,118
PRD000156,0.0,0.0,0.0,10.0,2.9166666666666665,24
PRD000157,0.0,0.0,0.0,5.0,0.6551724137931034,29
PRD000158,0.0,0.0,0.0,0.0,1.26,50
PRD000159,0.0,0.0,0.0,10.0,1.967741935483871,31
PRD000160,0.0,0.0,0.0,15.0,1.25,28
PRD000161,0.0,0.0,0.0,0.0,1.0818363273453093,501
PRD000162,0.0,0.0,0.0,0.0,2.446280991735537,242
PRD000163,0.0,0.0,0.0,20.0,1.8333333333333333,30
PRD000164,0.0,0.0,0.0,0.0,1.732899022801303,307
PRD000165,0.0,0.0,0.0,10.0,2.0714285714285716,28
PRD000166,0.0,0.0,0.0,10.0,0.9642857142857143,28
PRD000167,0.0,0.0,0.0,0.0,1.2622950819672132,244
PRD000168,0.0,0.0,0.0,5.0,1.3448275862068966,29
PRD000169,0.0,0.0,0.0,10.0,2.7419354838709675,31
PRD000170,0.0,0.0,0.0,0.0,0.6607142857142857,112
PRD000171,0.0,0.0,0.0,20.0,1.2,30
PRD000172,0.0,0.0,0.0,15.0,1.0740740740740742,27
PRD000173,0.0,0.0,0.0,25.0,3.891891891891892,37
PRD000174,0.0,0.0,0.0,20.0,1.3666666666666667,30
PRD000175,0.0,0.0,0.0,0.0,1.0728476821192052,151
PRD000176,0.0,0.0,0.0,0.0,0.7773109243697479,476
PRD000177,0.0,0.0,0.0,0.0,0.7368421052631579,57
PRD000178,0.0,0.0,0.0,10.0,2.875,24
PRD000179,0.0,0.0,0.0,0.0,2.023529411764706,85
PRD000180,0.0,0.0,0.0,10.0,3.6129032258064515,31
PRD000181,0.0,0.0,0.0,0.0,0.654690618762475,501
PRD000182,0.0,0.0,0.0,0.0,0.9667673716012085,331
PRD000183,0.0,0.0,0.0,15.0,1.4074074074074074,27
PRD000184,0.0,0.0,0.0,10.0,2.7142857142857144,28
PRD000185,0.0,0.0,0.0,0.0,1.5477178423236515,241
PRD000186,0.0,0.0,0.0,0.0,0.9516129032258065,62
PRD000187,0.0,0.0,0.0,10.0,2.8333333333333335,24
PRD000188,0.0,0.0,0.0,20.0,1.5333333333333334,30
PRD000189,0.0,0.0,0.0,0.0,1.251101321585903,227
PRD000190,0.0,0.0,0.0,0.0,0.7338129496402878,139
PRD000191,0.0,0.0,0.0,0.0,2.1553784860557768,502
PRD000192,0.0,0.0,0.0,0.0,1.5330739299610896,257
PRD000193,0.0,0.0,0.0,5.0,1.2413793103448276,29
PRD000194,0.0,0.0,0.0,0.0,1.2222222222222223,126
PRD000195,0.0,0.0,0.0,0.0,1.0220588235294117,136
PRD000196,0.0,0.0,0.0,0.0,2.098901098901099,91
PRD000197,0.0,0.0,0.0,0.0,0.8076109936575053,473
PRD000198,0.0,0.0,0.0,10.0,1.4516129032258065,31
PRD000199,0.0,0.0,0.0,10.0,1.1363636363636365,22
PRD000200,0.0,0.0,0.0,0.0,0.75,156
PRD000201,0.0,0.0,0.0,0.0,0.5306553911205074,473
PRD000202,0.0,0.0,0.0,0.0,0.8125,48
PRD000203,0.0,0.0,0.0,25.0,1.7027027027027026,37
PRD000204,0.0,0.0,0.0,10.0,2.0,24
PRD000205,0.0,0.0,0.0,0.0,1.153386454183267,502
PRD000206,0.0,0.0,0.0,10.0,1.6774193548387097,31
PRD000207,0.0,0.0,0.0,10.0,2.1666666666666665,24
PRD000208,0.0,0.0,0.0,0.0,0.8181818181818182,176
PRD000209,0.0,0.0,0.0,0.0,1.1394849785407726,466
PRD000210,0.0,0.0,0.0,20.0,2.2,30
PRD000211,0.0,0.0,0.0,10.0,2.8214285714285716,28
PRD000212,0.0,0.0,0.0,20.0,1.6333333333333333,30
PRD000213,0.0,0.0,0.0,10.0,3.0833333333333335,24
PRD000214,0.0,0.0,0.0,0.0,0.8686440677966102,236
PRD000215,0.0,0.0,0.0,5.0,3.0454545454545454,22
PRD000216,0.0,0.0,0.0,15.0,2.206896551724138,29
PRD000217,0.0,0.0,0.0,0.0,0.7235955056179775,445
PRD000218,0.0,0.0,0.0,0.0,1.2590361445783131,166
PRD000219,0.0,0.0,0.0,10.0,1.9166666666666667,24
PRD000220,0.0,0.0,0.0,0.0,1.1106290672451193,461
PRD000221,0.0,0.0,0.0,0.0,0.3230769230769231,130
PRD000222,0.0,0.0,0.0,10.0,2.607142857142857,28
PRD000223,0.0,0.0,0.0,0.0,1.4732510288065843,486
PRD000224,0.0,0.0,0.0,0.0,0.8423153692614771,501
PRD000225,0.0,0.0,0.0,0.0,1.0439121756487026,501
PRD000226,0.0,0.0,0.0,0.0,1.3343283582089551,335
PRD000227,0.0,0.0,0.0,15.0,1.5925925925925926,27
PRD000228,0.0,0.0,0.0,0.0,1.0169491525423728,177
PRD000229,0.0,0.0,0.0,0.0,1.1438202247191012,445
PRD000230,0.0,0.0,0.0,0.0,1.223529411764706,425
PRD000231,0.0,0.0,0.0,15.0,1.2,20
PRD000232,0.0,0.0,0.0,25.0,1.96,25
PRD000233,0.0,0.0,0.0,0.0,0.8756476683937824,193
PRD000234,0.0,0.0,0.0,15.0,1.3103448275862069,29
PRD000235,0.0,0.0,0.0,5.0,0.9215686274509803,51
PRD000236,0.0,0.0,0.0,10.0,1.5,22
PRD000237,0.0,0.0,0.0,20.0,1.3,30
PRD000238,0.0,0.0,0.0,0.0,1.1496062992125984,381
PRD000239,0.0,0.0,0.0,5.0,2.1923076923076925,26
PRD000240,0.0,0.0,0.0,0.0,1.0543478260869565,184
PRD000241,0.0,0.0,0.0,0.0,1.3254237288135593,295
PRD000242,0.0,0.0,0.0,0.0,2.3125,64
PRD000243,0.0,0.0,0.0,25.0,3.675675675675676,37
PRD000244,0.0,0.0,0.0,10.0,1.0909090909090908,22
PRD000245,0.0,0.0,0.0,20.0,1.4222222222222223,45
PRD000246,0.0,0.0,0.0,0.0,1.908450704225352,426
PRD000247,0.0,0.0,0.0,10.0,1.1666666666666667,24
PRD000248,0.0,0.0,0.0,10.0,0.8823529411764706,34
PRD000249,0.0,0.0,0.0,20.0,2.763157894736842,38
PRD000250,0.0,0.0,0.0,0.0,1.5339506172839505,324
PRD000251,0.0,0.0,0.0,0.0,0.5809935205183585,463
PRD000252,0.0,0.0,0.0,25.0,3.810810810810811,37
PRD000253,0.0,0.0,0.0,0.0,0.72,75
PRD000254,0.0,0.0,0.0,0.0,0.9493670886075949,474
PRD000255,0.0,0.0,0.0,0.0,0.6909871244635193,466
PRD000256,0.0,0.0,0.0,0.0,2.7358490566037736,53
PRD000257,0.0,0.0,0.0,15.0,1.6666666666666667,27
PRD000258,0.0,0.0,0.0,25.0,2.1794871794871793,39
PRD000259,0.0,0.0,0.0,20.0,1.9666666666666666,30
PRD000260,0.0,0.0,0.0,25.0,1.864864864864865,37
PRD000261,0.0,0.0,0.0,0.0,0.6153846153846154,130
PRD000262,0.0,0.0,0.0,10.0,1.8636363636363635,22
PRD000263,0.0,0.0,0.0,0.0,1.1486810551558753,417
PRD000264,0.0,0.0,0.0,0.0,1.4780876494023905,502
PRD000265,0.0,0.0,0.0,0.0,0.7305389221556886,501
PRD000266,0.0,0.0,0.0,15.0,0.9583333333333334,24
PRD000267,0.0,0.0,0.0,0.0,1.945054945054945,182
PRD000268,0.0,0.0,0.0,0.0,1.375,24
PRD000269,0.0,0.0,0.0,0.0,1.4291417165668663,501
PRD000270,0.0,0.0,0.0,5.0,1.434782608695652,23
PRD000271,0.0,0.0,0.0,0.0,1.1523809523809523,105
PRD000272,0.0,0.0,0.0,0.0,2.12751677852349,298
PRD000273,0.0,0.0,0.0,0.0,1.4012875536480687,466
PRD000274,0.0,0.0,0.0,0.0,0.7624750499001997,501
PRD000275,0.0,0.0,0.0,10.0,2.7916666666666665,24
PRD000276,0.0,0.0,0.0,15.0,1.8275862068965518,29
PRD000277,0.0,0.0,0.0,0.0,0.5763546798029556,203
PRD000278,0.0,0.0,0.0,0.0,1.5818639798488665,397
PRD000279,0.0,0.0,0.0,5.0,2.1363636363636362,22
PRD000280,0.0,0.0,0.0,0.0,1.1097804391217565,501
PRD000281,0.0,0.0,0.0,0.0,0.7425149700598802,501
PRD000282,0.0,0.0,0.0,5.0,2.4545454545454546,22
PRD000283,0.0,0.0,0.0,0.0,1.137313432835821,335
PRD000284,0.0,0.0,0.0,0.0,0.7661795407098121,479
PRD000285,0.0,0.0,0.0,10.0,1.4642857142857142,28
PRD000286,0.0,0.0,0.0,10.0,3.4583333333333335,24
PRD000287,0.0,0.0,0.0,0.0,0.8862660944206009,466
PRD000288,0.0,0.0,0.0,0.0,0.6721763085399449,363
PRD000289,0.0,0.0,0.0,0.0,2.231527093596059,203
PRD000290,0.0,0.0,0.0,0.0,0.8412698412698413,189
PRD000291,0.0,0.0,0.0,15.0,1.8888888888888888,27
PRD000292,0.0,0.0,0.0,20.0,1.1333333333333333,30
PRD000293,0.0,0.0,0.0,0.0,0.42207792207792205,154
PRD000294,0.0,0.0,0.0,10.0,1.2727272727272727,22
PRD000295,0.0,0.0,0.0,15.0,0.8275862068965517,29
PRD000296,0.0,0.0,0.0,0.0,1.7142857142857142,126
PRD000297,0.0,0.0,0.0,10.0,1.6451612903225807,31
PRD000298,0.0,0.0,0.0,15.0,1.1818181818181819,22
PRD000299,0.0,0.0,0.0,25.0,3.658536585365854,41
